Num,Lat,Lon,Value
1002,3.25,-72.75,5
1003,3.75,-72.75,5
1004,4.25,-72.75,5
1005,4.75,-72.75,5
1006,5.25,-72.75,5
1007,5.75,-72.75,3
1008,6.25,-72.75,3
1017,-17.25,-72.25,3
1018,-16.75,-72.25,3
1019,-16.25,-72.25,3
1020,-15.75,-72.25,3
1021,-15.25,-72.25,3
1022,-14.75,-72.25,3
1023,-14.25,-72.25,3
1024,-13.75,-72.25,3
1025,-13.25,-72.25,3
1026,-12.75,-72.25,1
1027,-12.25,-72.25,1
1028,-11.75,-72.25,1
1029,-11.25,-72.25,1
1030,-10.75,-72.25,1
1031,-10.25,-72.25,1
1032,-9.75,-72.25,1
1033,-9.25,-72.25,1
1034,-8.75,-72.25,1
1035,-8.25,-72.25,4
1036,-7.75,-72.25,4
1037,-7.25,-72.25,4
1038,-6.75,-72.25,4
1039,-6.25,-72.25,4
1040,-5.75,-72.25,4
1041,-5.25,-72.25,4
1042,-4.75,-72.25,4
1043,-4.25,-72.25,4
1044,-3.75,-72.25,4
1045,-3.25,-72.25,4
1046,-2.75,-72.25,4
1047,-2.25,-72.25,2
1048,-1.75,-72.25,2
1049,-1.25,-72.25,2
1050,-0.75,-72.25,5
1051,-0.25,-72.25,5
1052,0.25,-72.25,5
1053,0.75,-72.25,5
1054,1.25,-72.25,5
1055,1.75,-72.25,5
1056,2.25,-72.25,5
1057,2.75,-72.25,5
1058,3.25,-72.25,5
1059,3.75,-72.25,5
1060,4.25,-72.25,5
1061,4.75,-72.25,5
1062,5.25,-72.25,5
1063,5.75,-72.25,5
1064,6.25,-72.25,2
1072,-17.75,-71.75,3
1073,-17.25,-71.75,3
1074,-16.75,-71.75,3
1075,-16.25,-71.75,3
1076,-15.75,-71.75,3
1077,-15.25,-71.75,3
1078,-14.75,-71.75,3
1079,-14.25,-71.75,3
1080,-13.75,-71.75,3
1081,-13.25,-71.75,3
1082,-12.75,-71.75,1
1083,-12.25,-71.75,1
1084,-11.75,-71.75,4
1085,-11.25,-71.75,1
1086,-10.75,-71.75,1
1087,-10.25,-71.75,1
1088,-9.75,-71.75,1
1089,-9.25,-71.75,1
1090,-8.75,-71.75,1
1091,-8.25,-71.75,1
1092,-7.75,-71.75,4
1093,-7.25,-71.75,4
1094,-6.75,-71.75,4
1095,-6.25,-71.75,4
1096,-5.75,-71.75,4
1097,-5.25,-71.75,4
1098,-4.75,-71.75,4
1099,-4.25,-71.75,4
1100,-3.75,-71.75,4
1101,-3.25,-71.75,4
1102,-2.75,-71.75,4
1103,-2.25,-71.75,5
1104,-1.75,-71.75,5
1105,-1.25,-71.75,5
1106,-0.75,-71.75,5
1107,-0.25,-71.75,5
1108,0.25,-71.75,5
1109,0.75,-71.75,5
1110,1.25,-71.75,5
